day,nisho,kion_A,kion_L,kion_H,ruiseki
2021/1/1,0,-5.7,-7.3,-4.7,0
2021/1/2,0,-5.3,-8.9,-3.5,0
2021/1/3,0.9,-7,-13.1,-2.6,0
2021/1/4,3.4,-2.9,-5.2,-0.9,0
2021/1/5,1.7,-3,-5.7,-0.1,0
2021/1/6,7.3,-5.1,-9.9,-0.3,0
2021/1/7,4.2,-2.3,-7,2.4,0
2021/1/8,0,-6,-10.5,-3.5,0
2021/1/9,5.8,-8.3,-14.7,-4.1,0
2021/1/10,0.8,-4.5,-6.3,-1.9,0
2021/1/11,3.5,-2.8,-5.2,-0.4,0
2021/1/12,0,-2.6,-4.8,-1,0
2021/1/13,0.4,0,-3,2.9,0
2021/1/14,2.2,1.1,-0.9,3.3,0
2021/1/15,7,-0.4,-3.2,2.7,0
2021/1/16,0,2.2,-1,4.7,0
2021/1/17,1.3,-1.2,-3.2,0.7,0
2021/1/18,3.7,-2.6,-7,0.6,0
2021/1/19,0.1,-3.9,-5.8,-1,0
2021/1/20,0.5,-2.1,-5.2,0.2,0
2021/1/21,0,-0.3,-2.4,2.9,0
2021/1/22,0.1,2.1,-2.3,6.3,0
2021/1/23,6,-0.7,-4.8,3.6,0
2021/1/24,3.1,-0.3,-3.2,4.2,0
2021/1/25,8.1,0,-6.2,6.5,0
2021/1/26,0,-0.4,-5.5,3.7,0
2021/1/27,0,2.9,-0.6,8,0
2021/1/28,0.1,-0.3,-2.7,1.4,0
2021/1/29,0.8,-0.3,-3,2.7,0
2021/1/30,3,-3,-4.4,-0.8,0
2021/1/31,1.8,-2.2,-4.3,-0.5,0
2021/2/1,7,-2.6,-10.7,3.6,0
2021/2/2,0.2,0.4,-4,5.5,0
2021/2/3,0,-5.3,-8.4,-3.8,0
2021/2/4,1.8,-6,-9.4,-2.5,0
2021/2/5,0.2,-1.1,-6,2.7,0
2021/2/6,0.7,4.2,0.5,8.1,0
2021/2/7,3,1.4,-2.9,4.2,0
2021/2/8,1.7,-4.2,-7.3,-2.2,0
2021/2/9,0.9,-3.3,-5.9,-1.2,0
2021/2/10,0,0.7,-3,4.4,0
2021/2/11,5,2,0,3.9,0
2021/2/12,9.6,1,-5,7.5,0
2021/2/13,6.8,0.5,-4.7,7.2,0
2021/2/14,8.5,3.1,-4.1,11.8,0
2021/2/15,0,4.2,1.8,8.8,0
2021/2/16,0.3,1,-2.1,8.7,0
2021/2/17,0,-2.6,-3.5,-1.4,0
2021/2/18,6.2,-1.6,-4.6,0.9,0
2021/2/19,0.9,2.2,-1.6,4.4,0
2021/2/20,0.2,4.7,3,7.2,0
2021/2/21,7.9,4.8,1.2,8.9,0
2021/2/22,1.1,5.6,2.2,10.2,0
2021/2/23,3.6,0.1,-4.1,9.3,0
2021/2/24,1,-3.3,-4.7,-1.8,0
2021/2/25,9.3,-1.2,-4.1,2.4,0
2021/2/26,7.5,0.2,-3.6,4.9,0
2021/2/27,10,-1.1,-6.1,3.8,0
2021/2/28,10.3,-0.4,-8,7.4,0
2021/3/1,7.6,3.4,-4.7,13.3,0
2021/3/2,0,6.5,1.9,10.2,0
2021/3/3,10.2,1.4,-2.9,4.8,0
2021/3/4,8.2,3.4,-3.9,10.3,0
2021/3/5,5.3,7,0.5,13.6,0
2021/3/6,2.4,3.1,-2.1,9.1,0
2021/3/7,10.8,0.3,-3.8,5.1,0
2021/3/8,5.4,0.7,-5,6,0
2021/3/9,11.2,2.7,-4.8,9.6,0
2021/3/10,3.8,3.9,-0.3,6.8,0
2021/3/11,10.8,5.2,0.4,10,0
2021/3/12,0,3.5,-2,10.5,0
2021/3/13,0,2.9,-1.4,6,0
2021/3/14,0,6.1,4.4,7.2,0
2021/3/15,10.5,8.2,3.9,12.2,0
2021/3/16,2.7,6,0.2,11.6,0
2021/3/17,3.5,5.1,4.2,7.4,0
2021/3/18,0,5.5,4.1,6.7,0
2021/3/19,9.2,6.3,3.8,10.8,0
2021/3/20,6.3,4.6,-1.7,11.5,0
2021/3/21,0,7.9,5.1,12.4,0
2021/3/22,2.7,6.1,3.1,8.6,0
2021/3/23,8.7,5.1,0.9,10.1,0
2021/3/24,10.9,8.3,-0.4,17.7,0
2021/3/25,1.5,10,4.6,16.5,0
2021/3/26,6.8,9.1,6,13.1,0
2021/3/27,7.3,8.5,4.5,14.7,0
2021/3/28,0,9.3,4.2,13.1,0
2021/3/29,6.3,14.8,9.6,21.7,0
2021/3/30,5.2,12.6,8.9,17,0
2021/3/31,11.3,11.9,6.6,17.4,0
2021/4/1,12,9.8,3.7,15.5,0
2021/4/2,11.3,10.3,2.3,17.2,0
2021/4/3,10.8,14.1,9.6,19.8,0
2021/4/4,0,11.4,9.4,13,0
2021/4/5,0.4,7.7,3.1,10.9,0
2021/4/6,11.5,5.6,-0.3,12.1,0
2021/4/7,8.7,8.2,2.2,15.7,0
2021/4/8,9.4,7.5,3.7,11.9,0
2021/4/9,6.9,3.5,0.5,7.7,0
2021/4/10,9,5.7,0.7,10.9,0
2021/4/11,12.6,7.6,-1.1,16.3,0
2021/4/12,12,10.6,1.2,19,0
2021/4/13,0.5,14.1,10.3,18.3,0
2021/4/14,0,9.3,3.4,13.7,0
2021/4/15,9.2,6.4,-0.2,12.3,0
2021/4/16,5,9.8,0.3,15.9,0
2021/4/17,0,12.8,11.7,14.4,0
2021/4/18,3.5,11.3,6.1,16.3,0
2021/4/19,0.3,11.2,7.7,13.6,0
2021/4/20,12.8,12.3,5,20.6,0
2021/4/21,12.9,11.1,5.4,16.6,0
2021/4/22,9.5,11.7,5.6,18.6,0
2021/4/23,13,10.8,1.8,21.9,0
2021/4/24,11.5,12.5,3.2,22,0
2021/4/25,4.2,10.7,4.4,13.5,0
2021/4/26,11.8,7.8,1.8,14,0
2021/4/27,12.1,9.2,0.3,17.6,0
2021/4/28,1.2,12.3,4.1,20.3,0
2021/4/29,0,12.4,10,14,0
2021/4/30,1.2,11.4,8.7,14.2,0
2021/5/1,6.3,11.8,8.4,17.7,0
2021/5/2,1.4,9.7,7.5,15,0
2021/5/3,2.2,10.4,6.9,14.4,0
2021/5/4,12.4,15,10,20.1,0
2021/5/5,1.6,13.7,7.5,19,0
2021/5/6,13.2,16.7,10.3,22.7,0
2021/5/7,4.5,14.6,7.3,21.9,0
2021/5/8,7.1,17.3,11.7,23.3,0
2021/5/9,6.3,14.8,9.9,21.9,0
2021/5/10,0.3,13.1,10.4,16.3,0
2021/5/11,4.4,13.2,10.7,17.9,0
2021/5/12,13.1,13.6,7.1,20.3,0
2021/5/13,13.1,17,10.8,23,0
2021/5/14,5.8,18.9,13.6,24.5,0
2021/5/15,12.8,17.6,10.5,24.5,0
2021/5/16,0,18.2,15.3,22.5,0
2021/5/17,0,18.9,17.1,25.1,0
2021/5/18,8.5,18.5,13.8,25.1,0
2021/5/19,0,15.1,13.5,17.7,0
2021/5/20,9.8,18.9,14.3,24.8,0
2021/5/21,0,15.1,13.6,16.9,0
2021/5/22,0.2,16.6,13.9,21.2,0
2021/5/23,0,16.1,13.2,19.5,0
2021/5/24,3.2,18.5,15,22.4,0
2021/5/25,5.4,18.5,14.3,23.4,0
2021/5/26,10.4,15.6,10.6,21.1,0
2021/5/27,0,13.9,10.7,17,0
2021/5/28,3.6,17.4,14.2,21.4,0
2021/5/29,4.5,18,13.7,23.3,0
2021/5/30,2.9,16.2,13.7,19.2,0
2021/5/31,10.8,17.3,13.8,22.8,0
2021/6/1,11,17.3,12.4,25.2,0
2021/6/2,6.5,18.9,14.6,24.5,0
2021/6/3,6.9,19.8,14.2,27,0
2021/6/4,0,18.4,15.3,19.5,0
2021/6/5,9.9,19.3,13.5,25.7,0
2021/6/6,9.8,21.1,14.3,29.3,0
2021/6/7,9.2,22.9,18.5,28.6,0
2021/6/8,2.3,19.7,16.3,24.9,0
2021/6/9,12.8,20.8,14.4,27.5,0
2021/6/10,11.5,22.1,16.2,31.1,0
2021/6/11,10.2,22.1,16.6,29.7,0
2021/6/12,3.5,22.1,18.8,27.4,0
2021/6/13,3.8,23.5,19.5,28,0
2021/6/14,8.2,22.9,18.2,30.2,0
2021/6/15,7.4,20.7,17.1,27.7,0
2021/6/16,4.4,21.1,18.2,25.4,0
2021/6/17,9.8,21.4,17.6,27.1,0
2021/6/18,5.4,20.2,16.2,25.6,0
2021/6/19,0,18.5,16.8,21.7,0
2021/6/20,10.9,21.9,17.8,28.1,0
2021/6/21,4.6,20.9,17.7,26.4,0
2021/6/22,2.1,20.6,17,26.2,0
2021/6/23,0,19.6,17.8,22.6,0
2021/6/24,0.3,18.7,16.8,22.2,0
2021/6/25,7.1,21.5,17.4,27.1,0
2021/6/26,4.6,22.4,19.2,27.6,0
2021/6/27,6.7,22.9,17.9,28.8,0
2021/6/28,10.8,23.5,19.5,29.9,0
2021/6/29,0,19.8,17.2,22,0
2021/6/30,11.1,21.2,15.7,27.2,0
2021/7/1,0,20.3,17.9,22.7,0
2021/7/2,1.7,22,19,27.7,0
2021/7/3,0,21.1,18.6,24.6,0
2021/7/4,1.7,19.5,17,23.5,0
2021/7/5,0,21.3,17.1,24.6,0
2021/7/6,1.1,22.7,19.6,25.4,0
2021/7/7,0,21,19.6,23.2,0
2021/7/8,0,21.5,20.3,24.3,0
2021/7/9,0,21.4,20.3,23.6,0
2021/7/10,0.4,21.9,19.8,26.1,0
2021/7/11,0.6,22.8,20.2,26.6,0
2021/7/12,0.8,23.4,21,26.9,0
2021/7/13,2.4,23.9,20.9,29.2,0
2021/7/14,7.5,24.5,21.3,28.9,0
2021/7/15,6.1,23.8,20.7,28.5,0
2021/7/16,8.8,26.5,22.1,32.7,0
2021/7/17,10.8,28,23,35.6,0
2021/7/18,13.7,28.8,22.3,36.6,0
2021/7/19,13.6,28.7,22.1,36.4,0
2021/7/20,13.3,28.5,21.8,36.2,0
2021/7/21,8.3,27.7,23.3,34.6,0
2021/7/22,1.4,25.1,22.4,28.8,0
2021/7/23,4.3,25.7,22.5,30.7,0
2021/7/24,7.8,27.4,23.6,33.4,0
2021/7/25,11.2,27.2,23.5,32.9,0
2021/7/26,11.2,26.4,22.8,31.5,0
2021/7/27,5.4,25.2,21.8,29.9,0
2021/7/28,0.9,24,21.6,28.1,0
2021/7/29,6.9,26.2,22.5,31.5,0
2021/7/30,8.6,25.8,22.6,30.7,0
2021/7/31,5.3,25.6,22.5,31.2,0
2021/8/1,0,25,23.1,27.3,0
2021/8/2,8.7,27.3,23.7,33,0
2021/8/3,6.2,28.3,25.6,33.2,0
2021/8/4,6.4,28.7,25.2,36.3,0
2021/8/5,10.6,29.5,25.1,35.8,0
2021/8/6,8.5,28.2,25,33.8,0
2021/8/7,9.3,27.9,24.5,33.5,0
2021/8/8,0.5,26.7,24.5,31.9,0
2021/8/9,0.2,26.6,24.6,29.6,0
2021/8/10,0,23,19,28.7,0
2021/8/11,0.6,20.7,17.1,24.3,0
2021/8/12,0,18.3,16.5,20.3,0
2021/8/13,0,18,16.1,19.3,0
2021/8/14,0,17.4,15.8,19.8,0
2021/8/15,2.2,20,16.4,25.3,0
2021/8/16,0,19.5,17.3,21.9,0
2021/8/17,0,19.5,17.1,22.5,0
2021/8/18,1.4,23.9,19.9,29.2,0
2021/8/19,11.2,26.1,20,32.8,0
2021/8/20,7.9,25.6,21.6,32.1,0
2021/8/21,0.1,24.2,21.6,27.8,0
2021/8/22,1.2,24.7,22.9,27.4,0
2021/8/23,7.6,25.4,21.1,30.5,0
2021/8/24,1.6,22.9,18.7,27.5,0
2021/8/25,0.6,24.4,20.9,28.9,0
2021/8/26,2.9,27.1,23.5,31,0
2021/8/27,5.1,26.6,23.1,31.2,0
2021/8/28,0.9,22.5,20.8,25.2,0
2021/8/29,9.2,24.2,20.1,29.6,0
2021/8/30,0.2,23.2,20.3,26.8,0
2021/8/31,0,22.7,19,26.5,0
2021/9/1,0,20.4,17.9,23.8,0
2021/9/2,10,21.1,17.2,26.8,0
2021/9/3,9,20.2,14.4,26.1,0
2021/9/4,0,18.3,15.8,21.9,0
2021/9/5,0.2,18.8,16,22.7,0
2021/9/6,9.2,18.5,14.3,24.1,0
2021/9/7,11.3,17.5,11.4,24.1,0
2021/9/8,0,17.3,14.7,20.7,0
2021/9/9,3.5,21.3,18,26,0
2021/9/10,10.1,22.7,17.3,29.3,0
2021/9/11,2.6,21.8,19.6,27.1,0
2021/9/12,8.2,23,19,29.7,0
2021/9/13,8.3,21.2,16,25.7,0
2021/9/14,3.5,18.4,14.3,22.8,0
2021/9/15,8.1,20.2,16.4,26,0
2021/9/16,0,17.6,16,19.9,0
2021/9/17,0.3,18.7,16,21.3,0
2021/9/18,0,20.5,18.6,22.3,0
2021/9/19,11.5,21.1,14.5,28.3,0
2021/9/20,9.6,19.9,13.8,27,0
2021/9/21,10.4,20.7,16.3,25.7,0
2021/9/22,4.7,22.5,19.1,27.2,0
2021/9/23,3.3,20.8,17.8,26.1,0
2021/9/24,6.5,20.4,17.3,25,0
2021/9/25,10.2,18.7,15.6,23.6,0
2021/9/26,0.4,17.2,13.8,20.6,0
2021/9/27,7.2,16.7,11.5,23.3,0
2021/9/28,8.2,17.5,12.4,24.4,0
2021/9/29,5.6,19.2,14.3,24.3,0
2021/9/30,0.3,22.1,19.1,26.4,0
2021/10/1,0,17.1,13.8,19.9,0
2021/10/2,6.6,18.4,13.7,24.2,0
2021/10/3,11.2,18,11.9,24.4,0
2021/10/4,8.4,20.3,14.9,28.4,0
2021/10/5,0,20.4,17.3,23.5,0
2021/10/6,2.2,16.8,13.8,20.1,0
2021/10/7,1.5,16.3,12.6,19.2,0
2021/10/8,0,19,17.3,20.9,0
2021/10/9,5.5,17.7,15.4,20.9,0
2021/10/10,3.5,18.8,16,21.9,0
2021/10/11,0.2,18.4,15.3,21.9,0
2021/10/12,0,15.2,14.4,16.7,0
2021/10/13,0,14.9,13.7,16.8,0
2021/10/14,9.5,16.4,10.4,23.2,0
2021/10/15,0,15.8,13.3,20.5,0
2021/10/16,0,12.4,11.5,15.1,0
2021/10/17,0.8,9.7,4.8,12.9,0
2021/10/18,1.7,9,5.1,13.3,0
2021/10/19,1.7,11.2,7.1,15.9,0
2021/10/20,1.1,12.5,9.9,15.3,0
2021/10/21,2.4,9.4,6.1,11.7,0
2021/10/22,5.8,8.5,3.8,14.6,0
2021/10/23,5.1,8,4.9,12.3,0
2021/10/24,9.4,9.5,2.7,18.1,0
2021/10/25,6.4,10.6,4,16.7,0
2021/10/26,0,10.6,7.4,12.3,0
2021/10/27,0.1,10,6.5,13.3,0
2021/10/28,4.7,11.6,7.7,17.6,0
2021/10/29,7.9,10.5,5.9,16.6,0
2021/10/30,9.9,9.7,3.1,16.9,0
2021/10/31,4,11.1,6,16.6,0
2021/11/1,1.8,11.8,7.8,16.6,0
2021/11/2,6.8,13.6,8.7,19.5,0
2021/11/3,7.4,11.8,6.2,18.5,0
2021/11/4,7.6,11.9,8.1,18.2,0
2021/11/5,7.3,10.9,5.9,16.8,0
2021/11/6,6.1,9.1,4.9,15.6,0
2021/11/7,9.6,9.5,3.8,17.6,0
2021/11/8,2.8,10,3.8,16,0
2021/11/9,0,15.6,11.1,19,0
2021/11/10,2.1,12.4,9.4,15.5,0
2021/11/11,0.7,10.1,8.6,12.8,0
2021/11/12,1.6,8.6,6,11.8,0
2021/11/13,2.6,7.9,5.1,12.1,0
2021/11/14,8.2,10.6,5.9,16.3,0
2021/11/15,1.4,9.6,6.9,13.7,0
2021/11/16,2.8,8.2,3.4,12.6,0
2021/11/17,6.2,6.2,1.5,12.9,0
2021/11/18,1.4,5.4,1.1,10.4,0
2021/11/19,2.3,10.8,5.3,16.5,0
2021/11/20,9.2,7.8,2.5,12,0
2021/11/21,6,5.5,0.3,11.1,0
2021/11/22,0,9,5.7,13.6,0
2021/11/23,0.8,6.6,4,10.7,0
2021/11/24,0.4,3.5,1.9,5,0
2021/11/25,0.9,4.3,2.2,6.9,0
2021/11/26,6.2,3.7,1.9,5.6,0
2021/11/27,6.1,3,-0.2,6.9,0
2021/11/28,8.3,3,-1.9,9.2,0
2021/11/29,5.3,2.2,-2.1,9,0
2021/11/30,8.2,6.1,-0.6,13,0
2021/12/1,1.1,8.6,1.3,14.1,0
2021/12/2,2.2,2.1,0.2,4.7,0
2021/12/3,7,4.6,-2,10.9,0
2021/12/4,2.5,3.8,0.2,6.2,0
2021/12/5,1,1.7,-1.4,3.7,0
2021/12/6,3.4,2.2,-2,5.9,0
2021/12/7,1.4,6.3,2.5,9.4,0
2021/12/8,0,7.8,5.9,9.8,0
2021/12/9,8.6,5.6,0,10.3,0
2021/12/10,0.5,2.3,-1.7,7.9,0
2021/12/11,3,5.4,-0.9,10.9,0
2021/12/12,0.2,6.1,3.3,8.6,0
2021/12/13,0.5,0.6,-1.9,4.6,0
2021/12/14,5,3.9,-0.2,7.5,0
2021/12/15,0.8,2.8,-0.9,6.6,0
2021/12/16,0,1.6,-1.9,3.5,0
2021/12/17,0,3.6,-1.4,8,0
2021/12/18,0,-3,-5.3,-0.5,0
2021/12/19,0.3,-1.8,-4.2,0.7,0
2021/12/20,0.9,0.1,-4,3.6,0
2021/12/21,1.2,3.3,0.6,7.1,0
2021/12/22,6.1,1.2,0.1,3.6,0
2021/12/23,5.3,1.3,-1.5,3.4,0
2021/12/24,7.5,1.4,-2.9,5.4,0
2021/12/25,0.9,-2,-5.9,1.1,0
2021/12/26,2,-5.4,-6.6,-2.6,0
2021/12/27,2.6,-4.4,-6.5,-2,0
2021/12/28,2.1,-3.1,-5.5,-1,0
2021/12/29,0.5,-0.9,-4.2,0.7,0
2021/12/30,0.4,0.6,-1.6,2.3,0
2021/12/31,0,-4.9,-6.3,-1.6,0
